Word,Gender,Meaning
cravate,Feminin,넥타이
montre,Feminin,시계
horizon,Masculin,지평선
pantalon,Masculin,바지
meuble,Masculin,가구
forêt,Feminin,숲
sac,Masculin,가방
jupe,Feminin,치마
roi,Masculin,왕
conseil,Masculin,충고
pain,Masculin,빵
mère,Feminin,어머니
ordinateur,Masculin,컴퓨터
bicyclette,Feminin,자전거
joie,Feminin,기쁨
eau,Feminin,물
amour,Masculin,사랑
folie,Feminin,광기
chaise,Feminin,의자
bureau,Masculin,책상
arbre,Masculin,나무
banane,Feminin,바나나
ananas,Masculin,파인애플
ciseau,Masculin,가위
sommeil,Masculin,잠
printemps,Masculin,봄
cahier,Masculin,공책
nez,Masculin,코
neige,Feminin,눈
gentille,Feminin,친절한
blanche,Feminin,흰
fou,Masculin,광적인
lotion,Feminin,로션
crayon,Masculin,연필
cils,Masculin,속눈썹
bague,Feminin,반지
bijou,Masculin,보석
raisin,Masculin,포도
bourse,Feminin,지갑
silence,Masculin,침묵
belle,Feminin,아름다운
beau,Masculin,아름다운
école,Feminin,초등학교
musique,Feminin,음악
plat,Masculin,요리
oreiller,Masculin,베개
poupée,Feminin,인형
jaune,Masculin,노란색
couleur,Feminin,색깔
coq,Masculin,수탉
poule,Feminin,암탉
joue,Feminin,볼
peine,Feminin,형벌
table,Feminin,테이블
maison,Feminin,집
voiture,Feminin,자동차
fleur,Feminin,꽃
cuisine,Feminin,주방
pomme,Feminin,사과
rue,Feminin,거리
main,Feminin,손
voix,Feminin,목소리
plage,Feminin,해변
montagne,Feminin,산
porte,Feminin,문
peau,Feminin,피부
dent,Feminin,치아
chance,Feminin,운
pluie,Feminin,비
nuit,Feminin,밤
terre,Feminin,땅
paix,Feminin,평화
guerre,Feminin,전쟁
route,Feminin,길
liberté,Feminin,자유
scène,Feminin,무대
santé,Feminin,건강
soif,Feminin,갈증
loi,Feminin,법
tête,Feminin,머리
patience,Feminin,인내
science,Feminin,과학
livre,Masculin,책
stylo,Masculin,펜
mur,Masculin,벽
jardin,Masculin,정원
ciel,Masculin,하늘
soleil,Masculin,태양
vent,Masculin,바람
pont,Masculin,다리
lac,Masculin,호수
film,Masculin,영화
quartier,Masculin,동네
village,Masculin,마을
métro,Masculin,지하철
train,Masculin,기차
camion,Masculin,트럭
vin,Masculin,와인
poisson,Masculin,생선
feu,Masculin,불
bois,Masculin,숲
monde,Masculin,세계
pays,Masculin,나라
rêve,Masculin,꿈
travail,Masculin,일
sport,Masculin,스포츠
jeu,Masculin,게임
temps,Masculin,시간
jour,Masculin,날
matin,Masculin,아침
soir,Masculin,저녁
sourire,Masculin,미소
sens,Masculin,감각
bruit,Masculin,소음
respect,Masculin,존경
ceinture,Feminin,벨트
veste,Feminin,재킷
culture,Feminin,문화
danse,Feminin,춤
salle,Feminin,방
tour,Feminin,탑
radio,Feminin,라디오
chanson,Feminin,노래
balcon,Masculin,발코니
progrès,Masculin,발전
lit,Masculin,침대
grand,Masculin,큰
petit,Masculin,작은
grande,Feminin,큰
petite,Feminin,작은
vieux,Masculin,오래된
vieille,Feminin,오래된
froid,Masculin,차가운
froide,Feminin,차가운
actif,Masculin,활동적인
active,Feminin,활동적인
viande,Feminin,고기
carte,Feminin,카드
lettre,Feminin,편지
vie,Feminin,삶
force,Feminin,힘
raison,Feminin,이유
contume,Feminin,관습
peur,Feminin,두려움
honte,Feminin,수치심
terreur,Feminin,공포
mode,Feminin,패션
fête,Feminin,축제
classe,Feminin,반지
gare,Feminin,기차역
fin,Feminin,끝
lutte,Feminin,싸움
désert,Masculin,사막
projet,Masculin,프로젝트
mariage,Masculin,결혼
musée,Masculin,박물관
stade,Masculin,경기장
bateau,Masculin,배
nord,Masculin,북쪽
sud,Masculin,남쪽
choix,Masculin,선택
but,Masculin,목표
retour,Masculin,귀환
chiffre,Masculin,숫자
coût,Masculin,비용
plaisir,Masculin,기쁨
mot,Masculin,단어
désir,Masculin,욕망
poids,Masculin,무게
style,Masculin,스타일
risque,Masculin,위험
repos,Masculin,휴식
corps,Masculin,신체
devoir,Masculin,의무
vérité,Feminin,진실
politique,Feminin,정치
justice,Feminin,정의
condition,Feminin,조건
relation,Feminin,관계
foi,Feminin,믿음
chaleur,Feminin,따뜻함
distance,Feminin,거리
solution,Feminin,해결책
demande,Feminin,요청
beauté,Feminin,아름다움
taille,Feminin,크기
vertu,Feminin,미덕
vision,Feminin,시야
figure,Feminin,얼굴
cerveau,Masculin,뇌
miroir,Masculin,거울
défaut,Masculin,결점
terrain,Masculin,땅
combat,Masculin,싸움
tissu,Masculin,직물
tarif,Masculin,요금
en,Neutral,~에서(대명사)
cela,Neutral,그것(대명사)
ça,Neutral,이것(대명사)
ce,Neutral,저것(대명사)
